2004;14068;7662;6407
2005;14399;7837;6562
2006;14789;8038;6751
2007;15174;8244;6930
2008;15520;8386;7134
2009;15837;8585;7252
2010;16176;8804;7372
2011;16373;8948;7425
2012;16462;8979;7483
2013;16748;9152;7596
2014;16936;9267;7669
2015;17071;9347;7725
2016;17231;9401;7830
2017;17318;9482;7836
20181;17555;9634;7921
20191;17761;9766;7995
20202;17641;9705;7937
2021;17734;9777;7956
2022;17889;9884;8005
