2004;60.6;61.1;60.1
2005;60.6;61.1;60
2006;60.5;61;60
2007;60.5;61;60
2008;60.4;60.9;59.9
2009;60.5;60.9;60.1
2010;60.5;60.8;60.2
2011;60.7;61;60.5
2012;61;61.3;60.7
2013;61.2;61.5;60.9
2014;61.4;61.6;61.1
2015;61.6;61.9;61.3
2016;61.8;62.1;61.5
2017;62;62.3;61.7
2018;62.1;62.4;61.8
2019;62.2;62.5;61.9
2020;62.4;62.7;62.1
2021;62.6;62.9;62.2
2022;62.7;63;62.3
