Année;Trimestre;﻿Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2009;2;2009-05-31;Contrat de plus d'un mois;CDI;189425;217288
2009;2;2009-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;393222;317667
2009;3;2009-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;525931;312944
2009;4;2009-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;274523;324279
2010;1;2010-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;275945;313610
2010;1;2010-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;275767;328371
2010;2;2010-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;289708;322774
2010;2;2010-04-30;Contrat de plus d'un mois;CDI;247476;254033
2010;2;2010-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;420827;343520
2010;3;2010-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;236793;333355
2010;4;2010-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;334502;328867
2010;4;2010-10-31;Contrat de plus d'un mois;CDI;310869;258108
2010;4;2010-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;221271;315694
2011;1;2011-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;217934;355270
2011;3;2011-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;581046;345159
2011;3;2011-09-30;Contrat de plus d'un mois;CDI;434087;291125
2012;1;2012-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;314292;331153
2012;2;2012-06-30;Contrat de plus d'un mois;CDI;238326;262040
2012;3;2012-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;590869;323732
2012;3;2012-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;223716;325224
2012;4;2012-11-30;Contrat de plus d'un mois;CDI;243261;250676
2013;1;2013-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;298814;322871
2013;1;2013-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;198523;323537
2013;1;2013-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;254026;321277
2013;2;2013-05-31;Contrat de plus d'un mois;CDI;210020;248480
2013;2;2013-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;344763;308280
2013;2;2013-06-30;Contrat de plus d'un mois;CDI;225186;249051
2013;3;2013-07-31;Contrat de plus d'un mois;CDI;246386;253997
2013;3;2013-08-31;Contrat de plus d'un mois;CDI;185427;250461
2013;4;2013-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;229496;325383
2014;1;2014-02-28;Contrat de plus d'un mois;CDI;217119;249966
2014;1;2014-03-31;Contrat de plus d'un mois;CDI;242007;253269
2014;2;2014-04-30;Contrat de plus d'un mois;CDI;248101;247897
2014;2;2014-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;389127;344329
2014;2;2014-06-30;Contrat de plus d'un mois;CDI;231777;255963
2014;3;2014-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;541166;322332
2014;3;2014-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;619427;339447
2015;1;2015-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;198474;320785
2015;1;2015-03-31;Contrat de plus d'un mois;CDI;243272;248361
2015;2;2015-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;307244;337349
2015;3;2015-08-31;Contrat de plus d'un mois;CDI;201663;263643
2016;1;2016-01-31;Contrat de plus d'un mois;CDI;336888;269788
2016;1;2016-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;233392;353728
2017;3;2017-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;601185;367458
2017;4;2017-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;356769;358385
2018;4;2018-11-30;Contrat de plus d'un mois;CDI;340124;344584
2018;4;2018-12-31;Contrat de plus d'un mois;CDI;252261;350646
2019;1;2019-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;227453;369136
2019;1;2019-02-28;Contrat de plus d'un mois;CDI;310758;351280
2000;1;2000-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;277222;324961
2000;1;2000-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;222197;322885
2000;1;2000-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;267387;324503
2000;1;2000-03-31;Contrat de plus d'un mois;CDI;247085;236656
2000;2;2000-05-31;Contrat de plus d'un mois;CDI;256412;283625
2000;2;2000-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;405865;312393
2000;3;2000-07-31;Contrat de plus d'un mois;CDI;244189;282888
2000;3;2000-09-30;Contrat de plus d'un mois;CDI;361354;265256
2000;4;2000-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;339567;316550
2000;4;2000-10-31;Contrat de plus d'un mois;CDI;380495;295566
2000;4;2000-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;265614;315091
2000;4;2000-11-30;Contrat de plus d'un mois;CDI;298007;297398
2000;4;2000-12-31;Contrat de plus d'un mois;CDI;236387;305931
2001;1;2001-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;206998;318091
2001;1;2001-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;248062;308751
2001;1;2001-03-31;Contrat de plus d'un mois;CDI;295144;287913
2001;3;2001-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;409716;292379
2001;4;2001-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;251584;299885
2002;1;2002-02-28;Contrat de plus d'un mois;CDI;264488;282743
2002;1;2002-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;242472;300715
2002;1;2002-03-31;Contrat de plus d'un mois;CDI;279945;276609
2002;2;2002-04-30;Contrat de plus d'un mois;CDI;278668;272622
2002;2;2002-06-30;Contrat de plus d'un mois;CDI;239991;264941
2002;3;2002-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;634429;310608
2002;3;2002-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;179469;288360
2002;4;2002-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;298394;284669
2003;1;2003-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;184128;288019
2003;1;2003-02-28;Contrat de plus d'un mois;CDI;230938;248323
2003;1;2003-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;231958;283397
2003;1;2003-03-31;Contrat de plus d'un mois;CDI;255300;249628
2003;2;2003-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;235436;275370
2003;3;2003-07-31;Contrat de plus d'un mois;CDI;214259;248869
2003;3;2003-08-31;Contrat de plus d'un mois;CDI;160377;239774
2003;4;2003-10-31;Contrat de plus d'un mois;CDI;305780;244212
2003;4;2003-12-31;Contrat de plus d'un mois;CDI;203603;244256
2004;1;2004-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;191665;293680
2004;1;2004-02-29;Contrat de plus d'un mois;CDI;223477;240833
2004;1;2004-03-31;Contrat de plus d'un mois;CDI;248489;237071
2004;2;2004-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;432643;320224
2004;2;2004-06-30;Contrat de plus d'un mois;CDI;228340;242582
2004;3;2004-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;443551;300414
2004;4;2004-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;304633;299618
2004;4;2004-11-30;Contrat de plus d'un mois;CDI;246983;244120
2004;4;2004-12-31;Contrat de plus d'un mois;CDI;190366;235965
2005;1;2005-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;248483;310724
2005;2;2005-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;269458;306360
2006;1;2006-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;265247;288999
2006;1;2006-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;222059;275434
2006;1;2006-03-31;Contrat de plus d'un mois;CDI;270405;273083
2006;3;2006-07-31;Contrat de plus d'un mois;CDI;236501;267484
2006;3;2006-08-31;Contrat de plus d'un mois;CDI;188399;267950
2006;3;2006-09-30;Contrat de plus d'un mois;CDI;377823;267787
2007;3;2007-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;218963;331099
2007;3;2007-08-31;Contrat de plus d'un mois;CDI;205590;290563
2007;3;2007-09-30;Contrat de plus d'un mois;CDI;413848;292410
2008;3;2008-07-31;Contrat de plus d'un mois;CDI;264949;293819
2008;3;2008-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;549531;328878
2008;4;2008-11-30;Contrat de plus d'un mois;CDI;248507;259948
2009;1;2009-01-31;Contrat de plus d'un mois;CDI;297828;242148
2009;2;2009-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;268486;300692
2009;2;2009-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;250321;299096
2009;2;2009-06-30;Contrat de plus d'un mois;CDI;208264;222840
2009;3;2009-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;545651;309277
2009;3;2009-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;212145;307175
2009;3;2009-09-30;Contrat de plus d'un mois;CDI;343930;229990
2009;4;2009-10-31;Contrat de plus d'un mois;CDI;285895;233445
2009;4;2009-11-30;Contrat de plus d'un mois;CDI;236672;239351
2009;4;2009-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;230245;327701
2009;4;2009-12-31;Contrat de plus d'un mois;CDI;185481;238537
2010;1;2010-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;194383;317633
2010;1;2010-02-28;Contrat de plus d'un mois;CDI;214045;244724
2010;1;2010-03-31;Contrat de plus d'un mois;CDI;252929;253085
2010;2;2010-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;284345;327423
2010;2;2010-06-30;Contrat de plus d'un mois;CDI;245785;260797
2010;3;2010-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;548496;320259
2010;3;2010-07-31;Contrat de plus d'un mois;CDI;223873;248919
2010;3;2010-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;547162;328888
2010;3;2010-09-30;Contrat de plus d'un mois;CDI;375326;252734
2011;1;2011-01-31;Contrat de plus d'un mois;CDI;350111;277453
2011;1;2011-02-28;Contrat de plus d'un mois;CDI;245495;281455
2011;2;2011-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;315743;349831
2011;2;2011-05-31;Contrat de plus d'un mois;CDI;268948;290631
2011;2;2011-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;388287;341211
2011;3;2011-07-31;Contrat de plus d'un mois;CDI;254199;281335
2011;4;2011-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;280542;333595
2012;1;2012-01-31;Contrat de plus d'un mois;CDI;353333;272943
2012;1;2012-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;266365;339186
2012;1;2012-03-31;Contrat de plus d'un mois;CDI;260771;276625
2012;2;2012-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;309119;330868
2012;2;2012-05-31;Contrat de plus d'un mois;CDI;224040;264334
2012;2;2012-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;367690;324412
2012;3;2012-07-31;Contrat de plus d'un mois;CDI;249720;261698
2012;3;2012-08-31;Contrat de plus d'un mois;CDI;192335;258684
2012;3;2012-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;547991;323818
2012;3;2012-09-30;Contrat de plus d'un mois;CDI;381127;256178
2012;4;2012-12-31;Contrat de plus d'un mois;CDI;189626;255687
2013;1;2013-01-31;Contrat de plus d'un mois;CDI;316988;250422
2013;2;2013-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;300351;315528
2013;2;2013-04-30;Contrat de plus d'un mois;CDI;255465;251288
2013;4;2013-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;270810;332189
2013;4;2013-12-31;Contrat de plus d'un mois;CDI;189941;250106
2014;1;2014-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;260152;322171
2014;3;2014-08-31;Contrat de plus d'un mois;CDI;179002;242391
2014;4;2014-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;316300;322109
2015;1;2015-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;309163;330048
2015;1;2015-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;271879;326424
2015;2;2015-04-30;Contrat de plus d'un mois;CDI;248859;254119
2015;2;2015-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;396155;335561
2015;2;2015-06-30;Contrat de plus d'un mois;CDI;243187;255141
2015;3;2015-07-31;Contrat de plus d'un mois;CDI;235752;258469
2015;3;2015-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;250999;340674
2015;3;2015-09-30;Contrat de plus d'un mois;CDI;386485;248899
2015;4;2015-10-31;Contrat de plus d'un mois;CDI;304132;260751
2015;4;2015-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;301810;347433
2015;4;2015-12-31;Contrat de plus d'un mois;CDI;196528;262028
2016;1;2016-02-29;Contrat de plus d'un mois;CDI;245543;271369
2016;2;2016-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;310985;338832
2016;2;2016-04-30;Contrat de plus d'un mois;CDI;265615;269152
2016;2;2016-06-30;Contrat de plus d'un mois;CDI;251222;270831
2016;3;2016-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;561781;343527
2016;3;2016-08-31;Contrat de plus d'un mois;CDI;219342;283990
2016;3;2016-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;625784;353008
2016;3;2016-09-30;Contrat de plus d'un mois;CDI;419760;276699
2016;4;2016-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;232705;354715
2016;4;2016-12-31;Contrat de plus d'un mois;CDI;226313;309722
2017;1;2017-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;346262;349529
2017;2;2017-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;332443;371196
2017;3;2017-08-31;Contrat de plus d'un mois;CDI;235705;310151
2017;3;2017-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;635825;355096
2017;4;2017-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;241970;376641
2018;1;2018-03-31;Contrat de plus d'un mois;CDI;321077;336231
2018;2;2018-06-30;Contrat de plus d'un mois;CDI;311768;340965
2018;3;2018-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;612172;358664
2018;3;2018-09-30;Contrat de plus d'un mois;CDI;516441;340911
2018;4;2018-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;367331;366766
2019;1;2019-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;349689;369355
2019;1;2019-01-31;Contrat de plus d'un mois;CDI;441066;350729
2019;1;2019-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;283259;368987
2019;1;2019-03-31;Contrat de plus d'un mois;CDI;338700;355045
2019;2;2019-04-30;Contrat de plus d'un mois;CDI;354304;357174
2019;2;2019-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;312870;358548
2019;2;2019-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;394613;363489
2019;2;2019-06-30;Contrat de plus d'un mois;CDI;312492;353319
2019;3;2019-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;621805;369247
2019;3;2019-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;257145;351554
2019;4;2019-11-30;Contrat de plus d'un mois;CDI;350278;364829
2019;4;2019-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;247546;366380
2019;4;2019-12-31;Contrat de plus d'un mois;CDI;262220;355833
2020;1;2020-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;354051;377412
2020;1;2020-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;233602;373934
2020;1;2020-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;224636;282405
2020;2;2020-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;86965;100486
2020;2;2020-04-30;Contrat de plus d'un mois;CDI;102293;107110
2020;2;2020-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;412445;356386
2020;2;2020-06-30;Contrat de plus d'un mois;CDI;273719;294727
2020;3;2020-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;288943;376029
2020;3;2020-08-31;Contrat de plus d'un mois;CDI;262322;341781
2020;4;2020-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;182129;279701
2020;4;2020-12-31;Contrat de plus d'un mois;CDI;205103;279542
2021;1;2021-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;272917;345300
2021;2;2021-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;362339;400598
2021;3;2021-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;609112;402540
2021;4;2021-11-30;Contrat de plus d'un mois;CDI;419458;417420
2022;1;2022-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;250435;409981
2022;1;2022-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;305248;400109
2022;1;2022-03-31;Contrat de plus d'un mois;CDI;415636;421410
2022;2;2022-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;347903;404256
2022;2;2022-04-30;Contrat de plus d'un mois;CDI;399464;427836
2022;2;2022-05-31;Contrat de plus d'un mois;CDI;397331;434297
2022;3;2022-07-31;Contrat de plus d'un mois;CDI;362836;411205
2022;3;2022-08-31;Contrat de plus d'un mois;CDI;348968;441604
2022;4;2022-10-31;Contrat de plus d'un mois;CDI;521602;435042
2022;4;2022-11-30;Contrat de plus d'un mois;CDI;427977;431476
2022;4;2022-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;251769;398570
2023;1;2023-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;299817;397490
2023;2;2023-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;339504;394788
2023;2;2023-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;349277;401812
2023;2;2023-05-31;Contrat de plus d'un mois;CDI;371837;433162
2023;3;2023-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;600735;393264
2023;3;2023-07-31;Contrat de plus d'un mois;CDI;368917;409297
2023;3;2023-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;302624;395256
2023;4;2023-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;375251;386639
2023;4;2023-10-31;Contrat de plus d'un mois;CDI;511632;417412
2023;4;2023-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;318418;382666
2023;4;2023-11-30;Contrat de plus d'un mois;CDI;403558;408576
2023;4;2023-12-31;Contrat de plus d'un mois;CDI;290890;421198
2024;2;2024-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;324124;383764
2024;2;2024-05-31;Contrat de plus d'un mois;CDI;339973;400268
2024;2;2024-06-30;Contrat de plus d'un mois;CDI;363614;396584
2024;3;2024-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;291882;386404
2024;3;2024-08-31;Contrat de plus d'un mois;CDI;302662;390556
2025;1;2025-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;333144;378495
2025;1;2025-03-31;Contrat de plus d'un mois;CDI;380397;397202
2025;2;2025-06-30;Contrat de plus d'un mois;CDI;386866;418121
2025;3;2025-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;269535;358357
2025;3;2025-08-31;Contrat de plus d'un mois;CDI;322378;416913
2025;3;2025-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;804223;361695
2025;3;2025-09-30;Contrat de plus d'un mois;CDI;669156;403617
2003;2;2003-05-31;Contrat de plus d'un mois;CDI;209253;236583
2003;3;2003-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;546406;284380
2005;1;2005-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;269905;303192
2005;1;2005-02-28;Contrat de plus d'un mois;CDD de plus d'un mois;190200;304399
2005;2;2005-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;401021;310164
2005;3;2005-07-31;Contrat de plus d'un mois;CDI;198441;231899
2005;3;2005-08-31;Contrat de plus d'un mois;CDI;185779;262235
2005;3;2005-09-30;Contrat de plus d'un mois;CDI;360104;255840
2005;4;2005-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;212430;312944
2006;4;2006-11-30;Contrat de plus d'un mois;CDI;269985;272851
2007;1;2007-01-31;Contrat de plus d'un mois;CDI;352916;278590
2007;1;2007-03-31;Contrat de plus d'un mois;CDI;274186;283423
2007;2;2007-04-30;Contrat de plus d'un mois;CDI;283038;284905
2007;4;2007-10-31;Contrat de plus d'un mois;CDI;377856;291322
2007;4;2007-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;273369;327160
2008;1;2008-03-31;Contrat de plus d'un mois;CDI;278557;293373
2008;2;2008-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;415492;327946
2010;4;2010-12-31;Contrat de plus d'un mois;CDI;201558;262456
2011;1;2011-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;311207;337895
2011;2;2011-04-30;Contrat de plus d'un mois;CDI;275402;284002
