Année;Trimestre;﻿Dernier jour du mois;Durée de contrat;Nature de contrat;DPAE (brut);DPAE (cvs)
2009;3;2009-08-31;Contrat de plus d'un mois;CDI;170385;229924
2009;4;2009-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;323906;318223
2010;1;2010-01-31;Contrat de plus d'un mois;CDI;294698;241197
2010;4;2010-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;286447;333708
2010;4;2010-11-30;Contrat de plus d'un mois;CDI;260744;263661
2011;1;2011-03-31;Contrat de plus d'un mois;CDD de plus d'un mois;273277;335579
2011;4;2011-12-31;Contrat de plus d'un mois;CDI;214264;284653
2012;1;2012-02-29;Contrat de plus d'un mois;CDD de plus d'un mois;208249;325174
2012;2;2012-04-30;Contrat de plus d'un mois;CDI;265212;266854
2012;4;2012-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;348962;330426
2012;4;2012-10-31;Contrat de plus d'un mois;CDI;320101;256295
2012;4;2012-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;256789;305184
2013;1;2013-02-28;Contrat de plus d'un mois;CDI;218572;251660
2013;1;2013-03-31;Contrat de plus d'un mois;CDI;229942;245848
2013;2;2013-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;267889;322011
2013;3;2013-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;591744;329159
2013;3;2013-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;221131;319971
2013;3;2013-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;585654;329594
2013;3;2013-09-30;Contrat de plus d'un mois;CDI;387779;251994
2013;4;2013-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;327608;324587
2013;4;2013-10-31;Contrat de plus d'un mois;CDI;303160;249877
2013;4;2013-11-30;Contrat de plus d'un mois;CDI;235885;251663
2014;1;2014-01-31;Contrat de plus d'un mois;CDI;316355;250492
2014;2;2014-04-30;Contrat de plus d'un mois;CDD de plus d'un mois;303917;324328
2014;2;2014-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;266393;308925
2014;2;2014-05-31;Contrat de plus d'un mois;CDI;207601;238969
2014;3;2014-07-31;Contrat de plus d'un mois;CDI;227879;245927
2014;3;2014-08-31;Contrat de plus d'un mois;CDD de plus d'un mois;209508;299568
2014;3;2014-09-30;Contrat de plus d'un mois;CDI;393353;249771
2014;4;2014-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;268808;321736
2014;4;2014-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;233673;325331
2014;4;2014-12-31;Contrat de plus d'un mois;CDI;189071;245626
2015;1;2015-02-28;Contrat de plus d'un mois;CDI;213415;245018
2015;2;2015-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;273856;328025
2015;2;2015-05-31;Contrat de plus d'un mois;CDI;205447;243853
2015;3;2015-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;548937;335038
2015;3;2015-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;589990;325513
2015;4;2015-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;319133;336214
2015;4;2015-11-30;Contrat de plus d'un mois;CDI;257970;263093
2015;4;2015-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;226508;331356
2016;1;2016-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;329115;351992
2016;2;2016-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;313381;350268
2016;2;2016-05-31;Contrat de plus d'un mois;CDI;247751;277204
2016;3;2016-07-31;Contrat de plus d'un mois;CDI;248657;276113
2016;4;2016-10-31;Contrat de plus d'un mois;CDD de plus d'un mois;343676;354383
2016;4;2016-10-31;Contrat de plus d'un mois;CDI;333161;281375
2016;4;2016-11-30;Contrat de plus d'un mois;CDI;276412;282597
2017;1;2017-01-31;Contrat de plus d'un mois;CDI;371048;283781
2017;1;2017-03-31;Contrat de plus d'un mois;CDI;286730;296946
2017;2;2017-04-30;Contrat de plus d'un mois;CDI;286716;301468
2017;2;2017-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;323596;364937
2017;2;2017-05-31;Contrat de plus d'un mois;CDI;271197;308302
2017;3;2017-07-31;Contrat de plus d'un mois;CDI;278493;305215
2017;4;2017-10-31;Contrat de plus d'un mois;CDI;396413;327067
2017;4;2017-11-30;Contrat de plus d'un mois;CDI;324539;330172
2017;4;2017-12-31;Contrat de plus d'un mois;CDI;245479;348385
2018;1;2018-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;344946;355560
2018;1;2018-01-31;Contrat de plus d'un mois;CDI;426944;332570
2018;2;2018-04-30;Contrat de plus d'un mois;CDI;329107;337727
2018;2;2018-05-31;Contrat de plus d'un mois;CDI;286260;339793
2018;2;2018-06-30;Contrat de plus d'un mois;CDD de plus d'un mois;398064;357963
2018;3;2018-08-31;Contrat de plus d'un mois;CDI;257484;341737
2018;3;2018-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;652764;358294
2018;4;2018-10-31;Contrat de plus d'un mois;CDI;430103;350135
2018;4;2018-11-30;Contrat de plus d'un mois;CDD de plus d'un mois;305132;359089
2018;4;2018-12-31;Contrat de plus d'un mois;CDD de plus d'un mois;241205;368162
2019;3;2019-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;717948;369713
2019;4;2019-10-31;Contrat de plus d'un mois;CDI;423281;352175
2020;1;2020-01-31;Contrat de plus d'un mois;CDI;460668;370773
2020;2;2020-05-31;Contrat de plus d'un mois;CDD de plus d'un mois;158606;182426
2020;2;2020-05-31;Contrat de plus d'un mois;CDI;148834;173552
2020;3;2020-07-31;Contrat de plus d'un mois;CDD de plus d'un mois;558118;357584
2020;3;2020-07-31;Contrat de plus d'un mois;CDI;282846;316084
2020;3;2020-09-30;Contrat de plus d'un mois;CDD de plus d'un mois;697409;348550
2020;3;2020-09-30;Contrat de plus d'un mois;CDI;483632;303132
2020;4;2020-11-30;Contrat de plus d'un mois;CDI;262279;261531
2021;1;2021-01-31;Contrat de plus d'un mois;CDD de plus d'un mois;321113;346712
2021;1;2021-02-28;Contrat de plus d'un mois;CDI;256814;291809
